                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.1857,                 1.1295,                 1.3456,                0.68779,                0.82151,                0.95472,                0.53582,                 1.5287,                 1.7127,                 1.7051,               0.004555,               0.004555,               0.004555
                     57,                0.97739,                 1.0294,                 1.2199,                0.64585,                0.77891,                0.87472,                0.54586,                  1.283,                 1.7989,                 1.4369,               0.004456,               0.004456,               0.004456
                     58,                 1.0713,                  1.127,                 1.2888,                0.87802,                0.84922,                0.93668,                0.62814,                  1.208,                 1.4495,                 1.4294,               0.004357,               0.004357,               0.004357
                     59,                 1.1283,                 1.0887,                 1.2987,                0.91483,                0.99483,                  0.995,                0.72967,                 1.0338,                  1.012,                 1.3101,               0.004258,               0.004258,               0.004258
                     60,                0.95786,                0.99168,                 1.2127,                0.91483,                0.99483,                  0.995,                0.72967,                 1.0338,                  1.012,                 1.3101,               0.004159,               0.004159,               0.004159
                     61,                 1.0977,                 1.2174,                 1.2473,                0.99017,                0.99686,                  0.995,                0.70861,                 1.0494,                0.92504,                 1.3328,                0.00406,                0.00406,                0.00406
                     62,                 1.0884,                 1.0796,                 1.2857,                0.96109,                      1,                0.99413,                0.72707,                 1.0095,                0.86886,                 1.2746,               0.003961,               0.003961,               0.003961
                     63,                 1.0911,                 1.0318,                 1.2561,                0.99303,                      1,                  0.995,                0.73574,                0.95799,                0.86597,                 1.2127,               0.003862,               0.003862,               0.003862
                     64,                 1.0833,                 1.0262,                 1.2785,                0.99303,                      1,                  0.995,                0.73574,                0.95799,                0.86597,                 1.2127,               0.003763,               0.003763,               0.003763
                     65,                 1.0384,                0.96784,                 1.2652,                0.96643,                0.99147,                  0.995,                0.70655,                 1.0952,                0.89113,                 1.3706,               0.003664,               0.003664,               0.003664
                     66,                 1.1388,                  1.095,                 1.3223,                0.92385,                0.98282,                0.99413,                0.73302,                0.96797,                0.92764,                 1.2016,               0.003565,               0.003565,               0.003565
                     67,                0.94936,                0.89731,                 1.2106,                0.87997,                0.97758,                0.98387,                0.70919,                0.99546,                0.92341,                 1.2337,               0.003466,               0.003466,               0.003466
                     68,                 0.9354,                0.95753,                  1.241,                0.87997,                0.97758,                0.98387,                0.70919,                0.99546,                0.92341,                 1.2337,               0.003367,               0.003367,               0.003367
                     69,                  1.124,                 1.0513,                 1.2946,                0.80394,                0.92379,                 0.9757,                0.66892,                 1.1615,                0.99309,                 1.4142,               0.003268,               0.003268,               0.003268
                     70,                0.94561,                0.94334,                 1.2202,                0.80105,                0.94231,                0.96729,                0.70359,                 1.0215,                0.96574,                 1.2636,               0.003169,               0.003169,               0.003169
